,s2orc_id,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
93,91812618,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,195185567,['Sulfate (1)'],-,['K+ (1)'],['chloride (1)'],-,-,-,-,-,-,-,-,['Li+ (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,204849492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['nitrite (1)'],"['nitrate (1)', 'Nitrate (1)']",['sulfide (1)'],-,-,-,-,-,-,-,-,-,-,['N2 (1)'],['hydrogen (1)'],-
96,205788630,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (2)'],-,-,-,-,-,-,-,-,-,-,-,-
97,205982792,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (3)', 'CH4 (2)']",-,-,-,-,-,-,-,-,-,-,-,-
98,206164693,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,206723511,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (3)'],-,-,-,-,-,-,-,-,-,-,-,-
100,207696802,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,207963124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['nitrate (1)'],-,-,-,-,-,-,-,['formate (1)'],-,-,-,-,['hydrogen (1)'],-
102,208279838,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (4)'],-,-,-,-,-,-,-,-,-,-,-,-
103,209474384,['sulfate (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,210195508,-,-,-,['chloride (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,210914727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
